Student ID,Courses
9832465,HarvardX/PH278x/2013_Spring
4097296,HarvardX/CS50x/2012
6279190,HarvardX/PH278x/2013_Spring
6099601,HarvardX/ER22x/2013_Spring
3102543,HarvardX/CB22x/2013_Spring
5543004,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
6136459,HarvardX/CS50x/2012
9879031,HarvardX/CS50x/2012
9909711,HarvardX/CS50x/2012
4696215,HarvardX/PH207x/2012_Fall
3300763,HarvardX/CS50x/2012
6509298,HarvardX/SPU27x/2013_Oct
279563,HarvardX/PH278x/2013_Spring
5334979,HarvardX/PH278x/2013_Spring
5529250,HarvardX/CS50x/2012
6745317,HarvardX/CS50x/2012
9976514,HarvardX/CS50x/2012
6925972,HarvardX/PH207x/2012_Fall
9262893,HarvardX/CB22x/2013_Spring
8992920,HarvardX/PH207x/2012_Fall
8942888,HarvardX/PH207x/2012_Fall
554370,HarvardX/CS50x/2012
4657075,HarvardX/CS50x/2012
8214768,HarvardX/CS50x/2012
7675112,HarvardX/SPU27x/2013_Oct
8985268,HarvardX/ER22x/2013_Spring
1383118,HarvardX/PH278x/2013_Spring
5284056,HarvardX/CS50x/2012
7870236,HarvardX/CS50x/2012
8821166,HarvardX/PH207x/2012_Fall
1233191,HarvardX/CS50x/2012
2597979,HarvardX/CS50x/2012
7142134,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
5044944,HarvardX/PH207x/2012_Fall
3942879,HarvardX/CS50x/2012
1028329,HarvardX/ER22x/2013_Spring
9090420,HarvardX/ER22x/2013_Spring
5718141,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
2142977,HarvardX/SPU27x/2013_Oct
168087,HarvardX/CB22x/2013_Spring
6082459,HarvardX/CS50x/2012
7864143,HarvardX/ER22x/2013_Spring
5944175,HarvardX/CB22x/2013_Spring
3569877,HarvardX/PH207x/2012_Fall
5232914,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall,HarvardX/PH278x/2013_Spring
3084471,HarvardX/PH207x/2012_Fall
9357081,HarvardX/SPU27x/2013_Oct
2801553,HarvardX/CS50x/2012
7245658,HarvardX/ER22x/2013_Spring
7120286,HarvardX/PH207x/2012_Fall
7220842,HarvardX/CB22x/2013_Spring
7011655,HarvardX/CS50x/2012
650496,HarvardX/CS50x/2012
9077399,HarvardX/PH278x/2013_Spring
58077,HarvardX/CS50x/2012
9471811,HarvardX/CS50x/2012
5145920,HarvardX/CS50x/2012
1372879,HarvardX/HSPH-HMS214x/2013_SOND
2298798,HarvardX/PH201x/2013_SOND
2229342,HarvardX/ER22x/2013_Spring
5072137,HarvardX/CS50x/2012
9839721,HarvardX/CS50x/2012,HarvardX/PH278x/2013_Spring
2368926,HarvardX/MCB80.1x/2013_SOND
1696722,HarvardX/PH201x/2013_SOND
9429472,HarvardX/ER22x/2013_Spring
9264744,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
9761919,HarvardX/CS50x/2012
4539322,HarvardX/CS50x/2012
9683438,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
8209202,HarvardX/PH207x/2012_Fall
7013663,HarvardX/PH207x/2012_Fall
1959014,HarvardX/CB22x/2013_Spring
2784034,HarvardX/CS50x/2012,HarvardX/SPU27x/2013_Oct
7052801,HarvardX/CB22x/2013_Spring
9496882,HarvardX/CS50x/2012
9683430,HarvardX/CS50x/2012
3192662,HarvardX/CS50x/2012
4474661,HarvardX/SPU27x/2013_Oct
3101016,HarvardX/CS50x/2012
2029544,HarvardX/PH207x/2012_Fall
7707552,HarvardX/CS50x/2012
2087823,HarvardX/PH278x/2013_Spring
2634928,HarvardX/PH207x/2012_Fall
7726584,HarvardX/PH207x/2012_Fall
5929856,HarvardX/CB22x/2013_Spring,HarvardX/PH207x/2012_Fall
